rank,name,slug,owner,downloads,stars,category,description
1,"self-improving-agent",self-improving-agent,unknown,0,0,Agent Enhancement,""
2,"skill-vetter",skill-vetter,unknown,0,0,Security,""
3,"self-improving",self-improving,unknown,0,0,Agent Enhancement,""
4,"ontology",ontology,unknown,0,0,Other,""
5,"github",github,unknown,0,0,Dev Tools,""
6,"polymarket-trade",polymarket-trade,unknown,0,0,Finance,""
7,"gog",gog,unknown,0,0,Other,""
8,"skillscan",skillscan,unknown,0,0,Security,""
9,"proactive-agent",proactive-agent,unknown,0,0,Agent Enhancement,""
10,"weather",weather,unknown,0,0,Weather,""
11,"multi-search-engine",multi-search-engine,unknown,0,0,Search,""
12,"admapix",admapix,unknown,0,0,Other,""
13,"agent-browser-clawdbot",agent-browser-clawdbot,unknown,0,0,Web/Browser,""
14,"humanizer",humanizer,unknown,0,0,Other,""
15,"nano-pdf",nano-pdf,unknown,0,0,Document,""
16,"pollyreach",pollyreach,unknown,0,0,Other,""
17,"nano-banana-pro",nano-banana-pro,unknown,0,0,Other,""
18,"obsidian",obsidian,unknown,0,0,Other,""
19,"openclaw-tavily-search",openclaw-tavily-search,unknown,0,0,Search,""
20,"baidu-search",baidu-search,unknown,0,0,Search,""
21,"notion",notion,unknown,0,0,Other,""
22,"auto-updater",auto-updater,unknown,0,0,Other,""
23,"sonoscli",sonoscli,unknown,0,0,Other,""
24,"skill-creator",skill-creator,unknown,0,0,Skill Dev,""
25,"prismfy-search",prismfy-search,unknown,0,0,Search,""
26,"openai-whisper",openai-whisper,unknown,0,0,Other,""
27,"api-gateway",api-gateway,unknown,0,0,Other,""
28,"automation-workflows",automation-workflows,unknown,0,0,Automation,""
29,"agent-phone-call",agent-phone-call,unknown,0,0,Other,""
30,"word-docx",word-docx,unknown,0,0,Document,""
31,"excel-xlsx",excel-xlsx,unknown,0,0,Document,""
32,"mcporter",mcporter,unknown,0,0,Other,""
33,"free-ride",free-ride,unknown,0,0,Other,""
34,"elite-longterm-memory",elite-longterm-memory,unknown,0,0,Memory,""
35,"brave-search",brave-search,unknown,0,0,Search,""
36,"desktop-control",desktop-control,unknown,0,0,Other,""
37,"stock-analysis",stock-analysis,unknown,0,0,Finance,""
38,"youtube-watcher",youtube-watcher,unknown,0,0,Media,""
39,"video-frames",video-frames,unknown,0,0,Media,""
40,"find-skills-skill",find-skills-skill,unknown,0,0,Skill Dev,""
41,"imap-smtp-email",imap-smtp-email,unknown,0,0,Communication,""
42,"slack",slack,unknown,0,0,Communication,""
43,"himalaya",himalaya,unknown,0,0,Other,""
44,"liang-tavily-search",liang-tavily-search,unknown,0,0,Search,""
45,"powerpoint-pptx",powerpoint-pptx,unknown,0,0,Document,""
46,"browser-automation",browser-automation,unknown,0,0,Web/Browser,""
47,"news-summary",news-summary,unknown,0,0,Other,""
48,"browser-use",browser-use,unknown,0,0,Web/Browser,""
49,"xiucheng-self-improving-agent",xiucheng-self-improving-agent,unknown,0,0,Agent Enhancement,""
50,"memory-setup",memory-setup,unknown,0,0,Memory,""
51,"playwright-mcp",playwright-mcp,unknown,0,0,Other,""
52,"blogwatcher",blogwatcher,unknown,0,0,Other,""
53,"markdown-converter",markdown-converter,unknown,0,0,Other,""
54,"clawddocs",clawddocs,unknown,0,0,Document,""
55,"trello",trello,unknown,0,0,Other,""
56,"byterover",byterover,unknown,0,0,Other,""
57,"proactive-agent-lite",proactive-agent-lite,unknown,0,0,Agent Enhancement,""
58,"session-logs",session-logs,unknown,0,0,Other,""
59,"skill-finder-cn",skill-finder-cn,unknown,0,0,Search,""
60,"tavily",tavily,unknown,0,0,Other,""
61,"model-usage",model-usage,unknown,0,0,Other,""
62,"pdf",pdf,unknown,0,0,Document,""
63,"xiaohongshu-mcp",xiaohongshu-mcp,unknown,0,0,Other,""
64,"superdesign",superdesign,unknown,0,0,Other,""
65,"clawdhub",clawdhub,unknown,0,0,Other,""
66,"discord",discord,unknown,0,0,Communication,""
67,"gmail",gmail,unknown,0,0,Communication,""
68,"apple-notes",apple-notes,unknown,0,0,Other,""
69,"playwright",playwright,unknown,0,0,Other,""
70,"gemini",gemini,unknown,0,0,Other,""
71,"agentmail",agentmail,unknown,0,0,Other,""
72,"data-analysis",data-analysis,unknown,0,0,Data Analysis,""
73,"web-search",web-search,unknown,0,0,Search,""
74,"stock-watcher",stock-watcher,unknown,0,0,Finance,""
75,"qmd",qmd,unknown,0,0,Other,""
76,"ppt-generator",ppt-generator,unknown,0,0,Document,""
77,"docker-essentials",docker-essentials,unknown,0,0,Document,""
78,"n8n-workflow-automation",n8n-workflow-automation,unknown,0,0,Automation,""
79,"deep-research-pro",deep-research-pro,unknown,0,0,Search,""
80,"ui-ux-pro-max",ui-ux-pro-max,unknown,0,0,Other,""
81,"ai-humanizer",ai-humanizer,unknown,0,0,Other,""
82,"web-search-exa",web-search-exa,unknown,0,0,Search,""
83,"ddg-web-search",ddg-web-search,unknown,0,0,Search,""
84,"1password",1password,unknown,0,0,Other,""
85,"git-essentials",git-essentials,unknown,0,0,Dev Tools,""
86,"ai-ppt-generator",ai-ppt-generator,unknown,0,0,Document,""
87,"caldav-calendar",caldav-calendar,unknown,0,0,Other,""
88,"using-superpowers",using-superpowers,unknown,0,0,Other,""
89,"openclaw-backup",openclaw-backup,unknown,0,0,Other,""
90,"stock-market-pro",stock-market-pro,unknown,0,0,Finance,""
91,"playwright-scraper-skill",playwright-scraper-skill,unknown,0,0,Web/Browser,""
92,"peekaboo",peekaboo,unknown,0,0,Other,""
93,"apple-reminders",apple-reminders,unknown,0,0,Other,""
94,"healthcheck",healthcheck,unknown,0,0,Other,""
95,"tmux",tmux,unknown,0,0,Other,""
96,"duckduckgo-search",duckduckgo-search,unknown,0,0,Search,""
97,"akshare-stock",akshare-stock,unknown,0,0,Finance,""
98,"youtube-api-skill",youtube-api-skill,unknown,0,0,Media,""
99,"agent-memory",agent-memory,unknown,0,0,Memory,""